achitecture,best_epoch,best_val,best_train,training_loss,validation_loss
"(128, 256, 256)",11,3.2769535196070767,2.9628683774815756,"[857.6973680695847, 9.449496186227115, 6.908923459405649, 5.680152496244585, 4.864557365508617, 4.249588710049314, 3.8637102526338163, 3.6330414051624422, 3.316340666446534, 3.0794883080852453, 2.9628683774815756, 2.868688115352114, 2.753992112694611, 2.6680979061452197, 2.503993484618585, 2.454334144299348, 2.348060295172248, 2.288826186502346, 2.17602418035913, 2.151836922686797]","[12.018790001771888, 9.115129947662354, 9.89102534858548, 5.579584914810804, 12.673066693909314, 7.897131973383378, 7.565333619409678, 3.8115771522327346, 5.257642390776653, 12.5372087906818, 3.2769535196070767, 17.817583278733856, 12.711920037561534, 4.132582267936395, 16.920848077657272, 6.028389711769259, 12.57602596282959, 6.082850402715255, 4.427654721298996, 12.73345356571431]"
"(512, 32, 128)",20,4.23024312330752,2.8535335647096947,"[1195.75852722194, 13.07989828632689, 8.891049724661315, 7.602775499411139, 6.6284368024615565, 5.974360758940922, 5.468181347277384, 5.009077770582509, 4.514413539324469, 4.343880589911556, 4.136484286890909, 3.9856176029157586, 3.6234426172926972, 3.4842437333485643, 3.3554429012489537, 3.2170115542493174, 3.047621973003001, 3.091888748338198, 2.8614890222798977, 2.8535335647096947]","[24.50402121641198, 11.105595218892, 13.444570531650465, 6.879171308206052, 5.162231941612399, 8.86942897037584, 7.329275398838277, 5.896718643149551, 6.61771450237352, 4.7325616028844095, 8.913937378902824, 9.652321718177017, 8.968372174671718, 15.225238021539182, 7.584676260850867, 7.577630797211005, 20.391510029228368, 7.320814740901091, 5.417732978353695, 4.23024312330752]"
"(512, 64, 64)",17,4.521997485842023,3.152908155400056,"[1646.020675346713, 37.66984804823944, 8.54324348523484, 7.15748854518886, 6.144110355767781, 5.601601659234474, 5.198686083835954, 4.670076233806328, 4.387859905674731, 4.2103583641833415, 4.024511342162565, 3.773954997697381, 3.663761213777822, 3.5282781419764877, 3.3017716400994916, 3.2668170855720704, 3.152908155400056, 3.037143494488843, 2.9671662735315176, 2.8249414908329915]","[173.53390705342196, 11.234154428754534, 8.730243342263359, 8.501902599723971, 5.752254607726116, 5.372137079433519, 18.38554234407386, 6.305031669383147, 5.647926218655645, 4.901801284478635, 10.808367437245895, 7.726840758810238, 9.100935225584069, 6.427122344776076, 4.607081408403357, 12.25009046282087, 4.521997485842023, 5.83530382234223, 5.02170806028405, 6.763214753598583]"
"(512, 64, 128)",17,3.3417257727408898,2.750656714347171,"[1196.0319776762874, 11.887874540886646, 8.515040829455621, 6.995183295357349, 6.115424290723226, 5.428435118125161, 4.972839288744097, 4.576388818547723, 4.279448955946001, 3.9337428956037224, 3.7080416551900264, 3.4311893813574814, 3.2959767003650686, 3.055790304323919, 2.893544755019968, 2.8717822975672957, 2.750656714347171, 2.7232123612001353, 2.6192972913672627, 2.644075718891634]","[24.57112370705118, 13.27277729462604, 7.409805769823035, 7.760442480749013, 6.271871099666673, 6.49872071888982, 5.510148403595905, 3.664906470143065, 4.895276405373398, 8.39137230114061, 9.93798725945609, 5.215438764922473, 9.481963225773402, 3.8637730394090926, 4.72817216114122, 3.943014979362488, 3.3417257727408898, 8.294350779786402, 4.455373428305801, 5.545828123481906]"
"(512, 128, 32)",19,3.6483050633449943,3.032643224192154,"[2145.193381803163, 223.62692130764734, 11.195609941146209, 7.01495079565645, 6.114647961856291, 5.476291698264859, 5.080669897001351, 4.75745718172657, 4.377075543311404, 4.311271866026999, 3.974173240965408, 3.8412655360055865, 3.7272188997105933, 3.4723389387401977, 3.4041926155589413, 3.2749899024985076, 3.2839530068995333, 3.1358382883603526, 3.032643224192154, 2.9930925140066225]","[757.8470863809391, 24.346108125180614, 8.166669227639023, 7.543916050268679, 10.95313294079839, 4.683851315050709, 7.991383742312996, 5.639953705729271, 4.569340190108941, 9.51863498103862, 6.365930450205901, 5.876521548446344, 3.8003010409218922, 4.770899144970641, 8.093860236965881, 13.705859485937625, 6.062377185237651, 18.838595098378708, 3.6483050633449943, 5.16747041137851]"
"(512, 128, 64)",16,3.0697736010259513,2.9057139518996014,"[1644.9453022406776, 37.835426177045456, 7.806553427269841, 6.560828915770686, 5.7724982745547075, 5.129406434548457, 4.734976492915409, 4.333240250000504, 4.126108043429794, 3.856562438135939, 3.7231413387736905, 3.5735845392203305, 3.431063850585104, 3.211229645351501, 3.143656386992766, 2.9057139518996014, 2.9698954721630906, 2.787950469365299, 2.779329176784511, 2.6538672641140066]","[181.35176849365234, 10.695073195866176, 6.385440135488705, 9.289106991826271, 12.485727874600158, 5.064293442940225, 7.336194057853854, 25.050629460081762, 4.882271786125338, 9.47492995554087, 5.080185389032169, 5.987333039848172, 7.69079174800795, 7.810700547938445, 4.061216853102859, 3.0697736010259513, 10.712524783854581, 5.877412971185178, 6.034581500656751, 4.119854771361059]"
"(512, 128, 128)",20,3.4032681596522427,2.346900219667758,"[1192.2771625215012, 11.179451991809241, 7.555289732853843, 6.359038337234479, 5.5916582916919415, 4.925804007175432, 4.393657525922929, 4.0390768241014365, 3.731325967048758, 3.5163925279936286, 3.3629948002486505, 3.194824763939242, 3.0594747991420848, 2.8942223259748996, 2.7708644902204353, 2.6600460192449265, 2.677647490143369, 2.5028980684226148, 2.3818388914221114, 2.346900219667758]","[28.227678065397303, 8.538213885560328, 7.923979112080166, 6.414306835252411, 5.99856770281889, 10.605217544399963, 5.171019276794122, 7.405515223133321, 7.839773445713277, 3.903654290705311, 4.268970370292664, 4.420090147427151, 18.299556878148294, 10.581507001604352, 7.756683349609375, 8.780383869093292, 6.9295132938696415, 4.74075968411504, 6.350825353544586, 3.4032681596522427]"
"(32, 256, 256, 256)",20,3.7951803450681725,1.9542474939283385,"[854.8404268312509, 8.453989108674762, 6.381155815276405, 5.236433548325158, 4.5819703062511, 4.002451612409607, 3.6336512307936286, 3.3331460705931817, 3.1600846324764422, 2.8848899937869477, 2.74386854193452, 2.6407484175537768, 2.524195569231513, 2.4097405646305714, 2.3315317537190565, 2.221509446056223, 2.1727690612632395, 2.092429456586046, 2.0102181369534127, 1.9542474939283385]","[18.510876655578613, 12.43547162231134, 15.95726372271168, 12.148433811810552, 5.180584990248388, 7.7513580322265625, 5.850692676038158, 4.773335062727636, 5.49829287431678, 7.16948296099293, 8.157013513603989, 7.041260295984697, 4.443884742503264, 4.336006777627127, 7.742494763160239, 7.641106002184809, 5.171824158454428, 10.733683362299082, 5.8291468717614, 3.7951803450681725]"
"(128, 32, 256, 256)",14,3.4373707333389594,2.648893810918849,"[859.5808689000256, 10.147918009513882, 7.449406237054332, 6.0631397125799635, 5.157881564518969, 4.568876824145702, 3.9871944770878085, 3.741178803340838, 3.4507518568679063, 3.294550350772914, 3.074338229171788, 2.8958414040327884, 2.7273915039123255, 2.648893810918849, 2.521082594126158, 2.461630102039333, 2.347752155026207, 2.2515993418004596, 2.209369975280979, 2.1462857085825777]","[17.021751549779154, 15.967998728460195, 9.517113520174611, 6.863063491120631, 5.937725193646489, 10.543904041757388, 6.6441119738987515, 7.705046673210299, 9.698996514690165, 5.664659222778009, 15.964427694982412, 8.16589320435816, 6.117982630826989, 3.4373707333389594, 16.352715210038788, 13.32969467007384, 7.316680577336525, 4.26225390482922, 8.785594341706256, 12.547247604447968]"
"(128, 64, 256, 256)",20,3.884767782931425,1.8930226640354109,"[855.8600248536424, 8.46583111538415, 6.44359965861454, 5.120267497530298, 4.622791550129618, 4.175088159595876, 3.6833805666306185, 3.2923433387374446, 3.0699367591002966, 2.945854538807961, 2.7367652025374674, 2.5827400598916586, 2.4296182983971293, 2.349680080755579, 2.3514651165887357, 2.161503411804043, 2.107893777381845, 2.0129638187443164, 1.999545741406724, 1.8930226640354109]","[12.07021057362459, 10.396538413300807, 7.050934188219966, 6.583377288312328, 8.477844788103688, 11.425363725545456, 10.339569772992816, 4.248491248305963, 16.754706343825983, 9.273176368401975, 4.459711527337833, 7.462839219034935, 5.903594425746372, 12.15264587986226, 6.350631120253582, 9.297366122810208, 10.991364352557124, 19.61326719790089, 13.449960669692683, 3.884767782931425]"
